Country Name,corruption_perception_estimate,access_to_electricity_percent,co2_emissions_per_capita,mobile_cellular_subscriptions_per_100_people,agriculture_value_added_percent_gdp,industry_value_added_percent_gdp,gdp_growth_annual_percent,gdp_per_capita_usd,stability_of_government_estimate,health_expenditure_pct_gdp,child_mortality_rate,life_expectancy_at_birth,fertility_rate_total,population_65_plus_percent,population_total,urban_population_percent
Afghanistan,-1.18368434906006,85.3,0.20355189041619237,56.2655,33.701432321392254,16.050367722396278,-6.2401719924026935,357.2611527981426,-2.54495596885681,23.088169100000002,52.0,65.617,4.932,2.355142367049311,40578842.0,26.616
Albania,-0.408189445734024,100.0,1.6592930310052711,98.395,16.984478035139276,23.02505572368197,4.826696119127647,6846.4266938164255,0.10626131296157801,6.19368076,8.3,78.769,1.355,15.7763381628571,2777689.0,63.799
Algeria,-0.638041079044342,100.0,4.104114244553486,107.787,10.613177903656318,43.04805748224685,3.6000000009491515,4961.552576647326,-0.650652348995209,3.6230433,20.0,76.129,2.817,6.18696352392874,45477389.0,74.772
American Samoa,1.27027237415314,95.18,0.0020685945968308417,122.31764,7.658085874173308,19.785807372981722,1.7350157728706534,18017.45893839725,1.12317395210266,10.395106794,19.12,72.752,2.305,7.1036273181428,48342.0,87.196
Andorra,1.27027237415314,100.0,4.383950895005612,142.426,0.4874918621566149,11.14534110413013,9.564612256481835,42414.05900921166,1.58598840236664,7.53678846,2.6000000000000014,84.016,1.0710000000000002,14.9689479957343,79705.0,87.811
Angola,-0.612375736236572,48.5,0.7675874207931752,66.6008,13.737788497454275,45.180052903576026,3.0447265239191807,2929.6944546727173,-0.630108535289764,2.92737579,39.6,64.246,5.209,2.7733385596515205,35635029.0,68.081
Antigua and Barbuda,0.310727566480637,100.0,3.30137871607066,200.541,1.9556603230728626,19.658195974784363,9.107806233859575,20105.19890851644,0.938082098960876,5.7299943,7.5,77.483,1.58,10.728672985782,92840.0,24.346000000000004
Argentina,-0.447221606969833,100.0,4.260967429811338,131.484,6.6382969747364164,24.007552778777317,5.26987967384072,13935.681111004897,-0.0985943302512169,9.86305332,8.3,75.806,1.482,12.0340800139112,45407904.0,92.347
Armenia,0.0279071740806103,100.0,2.4549710359692845,130.54,10.146703925568268,25.43709664377936,12.599999999776628,6571.974455450989,-0.740756273269653,9.96212864,9.3,74.7658536585366,1.7,12.9151582271286,2969200.0,63.573
Aruba,0.756486594676971,99.9,4.684558755008854,130.648,2.6721674453726942,22.615746337346827,8.517918105175454,30559.533534658058,1.48307979106903,6.46832781,10.2,76.226,1.615,15.7002096825073,107310.0,44.052
Australia,1.76436710357666,100.0,14.410423242912508,109.469,2.673227685876113,27.482514271589974,4.242385553361388,64997.01365364752,0.9837159514427188,9.92687893,3.1999999999999993,83.2,1.63,17.0750320469828,26014399.0,86.488
Austria,1.25858676433563,100.0,6.771146748602692,121.166,1.3747510378984877,25.20554005525511,5.277894485386582,52176.664914117835,0.648710012435913,11.15729332,2.6999999999999993,81.2951219512195,1.41,19.7897509199721,9041851.0,59.256
Azerbaijan,-1.04090738296509,100.0,3.8875713436608015,107.506,4.612208308110533,56.14673735768555,4.714680378575437,7770.594223350996,-0.922807276248932,3.97840643,14.100000000000001,74.125,1.67,7.52651403008595,10141756.0,57.17
"Bahamas, The",1.25644886493683,100.0,4.016722929631885,101.624,0.4144839099648845,9.50434632433366,10.877455014596762,34957.16132797368,0.881239235401154,7.21692038,11.6,74.491,1.379,11.2521177194159,397538.0,83.492
Bahrain,0.139520317316055,100.0,23.800922546374903,139.636,0.24616046914750633,46.38962737029633,6.180161254751852,30470.52192760228,-0.36290544271469105,3.83745313,7.0,80.992,1.839,3.49895236846893,1524693.0,89.743
Bangladesh,-1.07575178146362,99.4,0.732520444251886,109.867,11.21760103515951,33.92008049718756,7.099828775751576,2716.4859278043114,-1.046462059021,2.3903858699999994,24.4,74.265,2.179,6.13515765182076,169384897.0,39.711
Barbados,1.28473830223083,100.0,2.691291380641688,114.581,1.6350197812843827,13.97917010098679,17.832863025132696,22164.02602738756,1.14464545249939,6.29389191,9.6,75.676,1.712,15.6987864748263,282318.0,31.324
Belarus,-0.579731464385986,100.0,6.158015039112724,128.315,8.04181871674039,33.029095545083386,-4.658395915735852,7994.648060748885,-0.802096605300903,6.65919876,2.0,74.10336585365854,1.326,16.5067849004664,9228071.0,80.326
Belgium,1.49497354030609,100.0,7.683021110065658,101.68,0.6970067082305551,19.513970380186283,4.259360736526901,50822.25185385176,0.581981599330902,10.76192474,3.1000000000000014,81.7487804878049,1.53,19.7671927585206,11680210.0,98.153
Belize,-0.23691363632679,98.6,0.6498101719998108,67.175,7.749323778410089,15.430147187972038,9.652977723897578,7068.454782697221,0.564006090164185,4.23173904,10.9,72.19,1.949,4.70833033299978,402732.99999999255,46.396
Benin,-0.0898572877049446,56.5,0.4810494217777226,105.745,26.896678796812388,17.017826707817036,6.25294705373625,1266.4271098115896,-0.34320268034935,2.6798138599999994,47.7,60.475,4.634,3.0625312306940202,13759501.0,49.534
Bermuda,1.27027237415314,100.0,5.133670018069777,105.274,0.21854416239193952,5.325904347275042,6.476225711867073,121613.9399836291,1.02404379844666,9.224113178,2.8200000000000003,82.062,1.397,20.1417793462397,64749.0,100.0
Bhutan,1.51478183269501,100.0,2.4672371093359837,95.1298,14.671011956090444,31.82484473808018,5.213867837862239,3711.3276798159095,1.00934255123138,4.38545895,19.1,72.754,1.478,6.24575417667363,780914.0,43.686
Bolivia,-0.889700353145599,99.9,1.882678650947069,101.572,12.46872564869134,26.201758881038582,3.605680426336349,3643.9282698460447,-0.191908553242683,8.43142891,20.7,67.434,2.584,5.47908058471391,12077154.0,70.83
Bosnia and Herzegovina,-0.684315621852875,100.0,7.087083695030146,118.944,4.82624839377878,24.66324979441201,4.226811010955458,7655.594210243828,-0.483193695545197,8.71644783,5.5,76.777,1.4810000000000003,21.1032694063471,3204802.0,49.841
Botswana,0.661908507347107,75.9,2.984845230854481,178.205,1.579789821878025,37.45712971391797,5.486017064467717,8328.709056821848,1.0739837884903,5.72838593,39.2,68.749,2.785,3.88015204774475,2439892.0,72.224
